Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2019-04-25,223.4,225.9,220.25,221.85,221.85,27132908,223.6,-0.7826
2019-04-26,221.9,221.9,214.0,215.6,215.6,26038093,221.85,-2.8172
2019-04-30,216.2,218.65,210.3,214.3,214.3,21289116,215.6,-0.603
2019-05-02,211.0,212.65,206.5,207.3,207.3,21986007,214.3,-3.2664
2019-05-03,205.0,213.65,203.05,209.45,209.45,37153857,207.3,1.0371
2019-05-06,204.0,204.5,198.0,199.8,199.8,30117667,209.45,-4.6073
2019-05-07,201.7,202.85,189.35,190.95,190.95,30516908,199.8,-4.4294
2019-05-08,190.0,190.9,183.8,185.1,185.1,28443735,190.95,-3.0636
2019-05-09,184.3,189.8,182.3,186.35,186.35,32841616,185.1,0.6753
2019-05-10,187.0,190.6,184.3,185.9,185.9,28910719,186.35,-0.2415
2019-05-13,186.2,187.15,179.6,180.75,180.75,15373536,185.9,-2.7703
2019-05-14,178.25,186.05,177.8,184.5,184.5,21412933,180.75,2.0747
2019-05-15,185.55,185.95,167.4,169.45,169.45,31427815,184.5,-8.1572
2019-05-16,176.0,177.55,172.8,175.4,175.4,30308248,169.45,3.5114
2019-05-17,174.95,177.7,170.2,176.85,176.85,21575989,175.4,0.8267
2019-05-20,181.45,192.0,179.25,190.15,190.15,29873588,176.85,7.5205
2019-05-21,185.25,186.9,174.05,176.8,176.8,57822527,190.15,-7.0208
2019-05-22,177.6,180.4,174.8,179.1,179.1,25845734,176.8,1.3009
2019-05-23,182.85,182.85,173.5,175.15,175.15,22912106,179.1,-2.2055
2019-05-24,177.0,183.5,175.35,182.3,182.3,22494409,175.15,4.0822
2019-05-27,181.75,183.5,179.3,181.35,181.35,14774311,182.3,-0.5211
2019-05-28,181.35,185.3,179.8,180.25,180.25,23272915,181.35,-0.6066
2019-05-29,179.85,180.0,175.35,176.35,176.35,15222008,180.25,-2.1637
2019-05-30,177.5,178.5,173.1,175.15,175.15,18078726,176.35,-0.6805
2019-05-31,177.8,177.85,170.0,172.6,172.6,21488115,175.15,-1.4559
2019-06-03,170.5,175.0,168.4,174.5,174.5,21288078,172.6,1.1008
2019-06-04,174.25,177.2,172.4,173.25,173.25,17428731,174.5,-0.7163
2019-06-06,174.05,175.85,168.85,169.7,169.7,16874819,173.25,-2.0491
2019-06-07,169.9,171.7,167.25,169.5,169.5,14465703,169.7,-0.1179
2019-06-10,170.9,172.05,163.55,166.2,166.2,20209862,169.5,-1.9469
2019-06-11,166.85,171.9,165.65,170.75,170.75,20363493,166.2,2.7377
2019-06-12,170.9,172.2,168.1,169.05,169.05,12819208,170.75,-0.9956
2019-06-13,166.9,168.9,164.5,167.4,167.4,15144315,169.05,-0.976
2019-06-14,167.5,167.5,163.5,164.2,164.2,10920508,167.4,-1.9116
2019-06-17,163.75,164.15,158.0,158.75,158.75,14381813,164.2,-3.3191
2019-06-18,159.0,161.0,156.75,158.3,158.3,14003043,158.75,-0.2835
2019-06-19,160.0,163.75,152.5,154.65,154.65,25257018,158.3,-2.3058
2019-06-20,153.45,160.0,152.15,159.25,159.25,19247947,154.65,2.9745
2019-06-21,155.0,160.75,154.5,158.9,158.9,23304207,159.25,-0.2198
2019-06-24,158.7,160.2,156.2,159.3,159.3,13185118,158.9,0.2517
2019-06-25,158.0,161.0,156.85,160.45,160.45,13368928,159.3,0.7219
2019-06-26,160.1,162.2,158.75,161.1,161.1,18481332,160.45,0.4051
2019-06-27,161.85,168.0,161.1,165.85,165.85,26612983,161.1,2.9485
2019-06-28,165.2,166.75,161.35,162.55,162.55,15092229,165.85,-1.9898
2019-07-01,163.7,169.4,163.2,168.0,168.0,23990900,162.55,3.3528
2019-07-02,166.8,167.35,161.35,163.75,163.75,16903683,168.0,-2.5298
